Fiscal Year,code, Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions¹ , Pending 
,,,,,,,,,,,,,
2013,ANC, ANCHORAGE AK ,0,717,121,"2,102",0,33,5,104,0,876,"2,206"
,,,,,,,,,,,,,
,ATL, ATLANTA GA ,0,"25,721",2060,"57,644",0,"1,662",119,"7,294",0,"29,562","64,938"
,,,,,,,,,,,,,
,BAL, BALTIMORE MD ,0,"13,094","1,078","32,273",0,48,14,110,0,"14,234","32,383"
,,,,,,,,,,,,,
,BOS, BOSTON MA ,0,"24,572","3,255","79,880",0,74,5,217,0,"27,906","80,097"
,,,,,,,,,,,,,
,BUF, BUFFALO NY ,0,"3,842",435,"12,738",0,58,0,94,0,"4,335","12,832"
,,,,,,,,,,,,,
,CHI, CHICAGO IL ,0,"22,004","1,765","71,301",0,683,24,"1,976",0,"24,476","73,277"
,,,,,,,,,,,,,
,CLE, CLEVELAND OH ,0,"7,892",613,"12,147",0,24,5,73,0,"8,534","12,220"
,,,,,,,,,,,,,
,DAL, DALLAS TX ,0,"14,914","1,235","44,449",0,592,17,"1,798",0,"16,758","46,247"
,,,,,,,,,,,,,
,DEN, DENVER CO ,0,"6,824",790,"14,351",0,61,5,221,0,"7,680","14,572"
,,,,,,,,,,,,,
,DET, DETROIT MI ,0,"9,824","1,043","21,872",0,15,2,34,0,"10,884","21,906"
,,,,,,,,,,,,,
,ELP, EL PASO TX ,0,"3,355",345,"12,184",0,87,8,161,0,"3,795","12,345"
,,,,,,,,,,,,,
,CSC, CALIFORNIA SERVICE CENTER ,440,0,2,"1,408",864,0,3,"2,116","1,304",5,"3,524"
,,,,,,,,,,,,,
,HEL, HELENA MT ,0,"1,062",125,"2,634",0,12,1,9,0,"1,200","2,643"
,,,,,,,,,,,,,
,HHW, HONOLULU HI ,0,"3,053",235,"8,386",0,105,22,302,0,"3,415","8,688"
,,,,,,,,,,,,,
,HLG, HARLINGEN TX ,0,"1,728",356,"8,613",0,9,1,38,0,"2,094","8,651"
,,,,,,,,,,,,,
,HOU, HOUSTON TX ,0,"18,811","1,216","27,690",0,41,10,73,0,"20,078","27,763"
,,,,,,,,,,,,,
,KAN, KANSAS CITY MO ,0,"5,203",420,"17,659",0,140,10,310,0,"5,773","17,969"
,,,,,,,,,,,,,
,LOS, LOS ANGELES CA ,0,"62,859","5,976","148,584",3,194,23,586,3,"69,052","149,170"
,,,,,,,,,,,,,
,MIA, MIAMI FL ,0,"76,802","11,100","189,535",0,303,37,491,0,"88,242","190,026"
,,,,,,,,,,,,,
,NBC, NATIONAL BENEFITS CENTER ,"581,331",0,"1,256","1,832,966",0,0,0,0,"581,331","1,256","1,832,966"
,,,,,,,,,,,,,
,NEW, NEWARK NJ ,8,"31,003","3,155","56,941",0,48,10,277,8,"34,216","57,218"
,,,,,,,,,,,,,
,NOL, NEW ORLEANS LA ,0,"9,874","1,238","33,052",0,132,14,228,0,"11,258","33,280"
,,,,,,,,,,,,,
,NSC, NEBRASKA SERVICE CENTER ,231,0,0,500,"1,754",0,4,"1,629","1,985",4,"2,129"
,,,,,,,,,,,,,
,NYC, NEW YORK CITY NY ,0,"75,684","9,777","207,955",0,184,81,373,0,"85,726","208,328"
,,,,,,,,,,,,,
,OMA, OMAHA NE ,0,"3,589",419,"8,429",0,2,2,59,0,"4,012","8,488"
,,,,,,,,,,,,,
,PHI, PHILADELPHIA PA ,0,"15,112","1,634","43,915",0,38,3,113,0,"16,787","44,028"
,,,,,,,,,,,,,
,PHO, PHOENIX AZ ,0,"16,748","2,118","44,656",0,94,14,225,0,"18,974","44,881"
,,,,,,,,,,,,,
,POM, PORTLAND ME ,0,"1,217",42,"2,540",0,8,0,5,0,"1,267","2,545"
,,,,,,,,,,,,,
,POO, PORTLAND OR ,0,"5,014",346,"7,289",0,9,9,64,0,"5,378","7,353"
,,,,,,,,,,,,,
,SAJ, SAN JUAN PR ,0,"2,329",238,"6,418",0,5,0,18,0,"2,572","6,436"
,,,,,,,,,,,,,
,SEA, SEATTLE WA ,0,"12,279","1,128","19,425",0,94,7,196,0,"13,508","19,621"
,,,,,,,,,,,,,
,SFR, SAN FRANCISCO CA ,0,"45,749","3,965","94,419",0,117,28,222,0,"49,859","94,641"
,,,,,,,,,,,,,
,SNA, SAN ANTONIO TX ,0,"5,404",571,"19,133",0,311,33,750,0,"6,319","19,883"
,,,,,,,,,,,,,
,SND, SAN DIEGO CA ,0,"12,750",981,"28,378",0,194,15,830,0,"13,940","29,208"
,,,,,,,,,,,,,
,SPM, ST. PAUL MN ,0,"7,894",947,"24,452",0,11,7,245,0,"8,859","24,697"
,,,,,,,,,,,,,
,TSC, TEXAS SERVICE CENTER ,559,0,0,"1,123","4,023",0,14,"3,286","4,582",14,"4,409"
,,,,,,,,,,,,,
,VSC, VERMONT SERVICE CENTER ,511,0,0,"1,176",787,0,6,"1,987","1,298",6,"3,163"
,,,,,,,,,,,,,
,WAS, WASHINGTON DC ,0,"16,496","1,418","58,675",0,426,39,"1,037",0,"18,379","59,712"
,,,,,,,,,,,,,
Grand Total,,,"583,080","563,419","61,403","3,256,892","7,431","5,814",597,"27,551","590,511","631,233","3,284,443"
